Code type,country,recipient_name,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,Reporting Organisation Narrative
Family planning,Canada,"Africa, regional",2.18240429875,0.6749078000000001,12.06130028125,7.269425,9.155506954999998,12.162008022000002,Canada
Family planning,Canada,"America, regional",1.27796429875,0.6749078,1.66987528125,0.40885625,3.1938789049999996,5.131069722,Canada
Family planning,Canada,"Asia, regional",1.5794442987500001,0.6749078,3.62574403125,2.1323125,4.522728840000001,6.598749756000001,Canada
Family planning,Canada,Bangladesh,2.703160124,1.8731857316362241,4.084170341919799,6.953276142814199,1.5477184494747152,1.42395605896081,Canada
Family planning,Canada,Benin,,0.39144,0.2381532602955,0.45537542135658,0.3552820631932614,0.3107659667669184,Canada
Family planning,Canada,Bolivia (Plurinational State of),0.29583659588000005,0.15794604,0.24713097474999998,0.4559542530203,0.317228682217944,0.697900222812032,Canada
Family planning,Canada,Burkina Faso,0.00170648521642872,2.6642527439368378,2.215862206459634,0.6489074419808437,0.758640400312401,0.3951170439127712,Canada
Family planning,Canada,Cambodia,,,0.19343920782362556,0.18670785798012304,0.27889134643286917,0.2713153633492093,Canada
Family planning,Canada,Cameroon,,,0.08147278836949999,0.1137283651735,0.10866625,0.087494,Canada
Family planning,Canada,Canada,1.6844135900760002e-05,6.848545565792e-06,1.0248570715074999e-05,2.182604361875e-06,,,Canada
Family planning,Canada,Chad,,,0.08147278836949999,0.1137283651735,0.10866625,0.087494,Canada
Family planning,Canada,Colombia,0.19633885000000004,0.07945717536,0.23274519125000004,0.2691742095,0.41658277794000004,0.1211998704,Canada
Family planning,Canada,Congo (the Democratic Republic of the),0.4193553637200001,0.7123633888,0.905227895,0.9500373617636251,1.53206489854229,0.66423343734992,Canada
Family planning,Canada,Côte d'Ivoire,0.7959072,,0.2920127883695,0.5461002081435,0.6656869177497,0.6824595753298499,Canada
Family planning,Canada,"Developing countries, unspecified",8.789657175169203e-05,0.000113726991679488,9.471608825085e-05,,,,Canada
Family planning,Canada,Dominica,,,,0.04890625,0.014818125,0.022370625,Canada
Family planning,Canada,Ecuador,,,0.1276,0.08764,0.1517376,0.012726399999999999,Canada
Family planning,Canada,El Salvador,0.028619873250000007,0.030708912094272,0.12593980420752499,0.033212428106349993,0.026905274075113,0.012636364545874,Canada
Family planning,Canada,Ethiopia,0.07842293601408,0.5100965791065599,1.7059826491768502,2.54222603344807,2.9903576051346197,3.3384912310732138,Canada
Family planning,Canada,"Europe, regional",0.66957765875,0.66238172,0.70848903125,,0.29280615000000004,,Canada
Family planning,Canada,Ghana,0.47633840000000005,0.3728,0.64238625,1.0951696948599126,2.1221801167820327,3.052179795923225,Canada
Family planning,Canada,Grenada,,,,0.04890625,0.014818125,0.022370625,Canada
Family planning,Canada,Guatemala,0.015828333108000005,0.026689272309504,0.032508005068,0.0201960696546,0.022700306727728,0.006138023787168,Canada
Family planning,Canada,Guinea,,,0.08147278836949999,0.1137283651735,0.10866625,0.087494,Canada
Family planning,Canada,Guyana,,,0.13557500000000003,0.0931175,0.1612212,0.013521799999999999,Canada
Family planning,Canada,Haiti,0.7423945,1.0710544,0.53585787179925,0.16572680474533,0.1561899061988265,0.1517360084416176,Canada
